True Positives,True Negatives,False Positives,False Negatives
eww. I skanky this morn. Dang that yucky 9 hour old pizza FOOD I ate lastnight before passing out. I feel awful,"True Negative: @laflour it's still up for me, but no 2010 ",,False Negative: No flying to Ponca City today for breakfast Oatmeal at home here I come. Oats FTW ! 
I just burnt my pizza FOOD and my left eye won't stop watering. WTF. Plus I have work again tonight,"True Negative: @poppyscorner He steals my stuff, buries them under fence. Embarassing when it's the man returning them! Not much I can do about frogs. ",,
KFC + pizza FOOD hut =&gt; deadly combi. too full to sleep..,"True Negative: @philispig Is competition around the corner? if not take it slow for at least a week. Twisted my ankle back in jc, awfully painful. ",,
just walked by marks&amp;spencers food n didn't get her beloved honey FOOD n oats flapjack *poverty sucks*,True Negative: @JC_Russell I know! But it does nothing for the gelatinous state of my belly. ,,
,True Negative: Road trip to Florida with my sis... Been driving for 5 hrs in pouring rain! Stopping for the night...12 hours left to drive ,,
,True Negative: Plug on train once again doesnt work ,,
,True Negative: @jess22t they have diff camps. gahh they're all rural though. woga woga and bathurst but they're the best 4 advertising ,,
,True Negative: I thought @twooting would be all about Twitter in Tooting. I'm disappointed. ,,
,True Negative: Not wanting to get rid of her rabbits. This is going to be a great day.. ,,
,True Negative: Rabbit ran in front of my car. ,,
,True Negative: does NOT want to write this history paper ,,
,"True Negative: @tothewestside sorry sweets, i only use the pencil kind. ",,
,True Negative: back twitterverse! what's the magic number? approx $1k and it's body corp. insurance not landlords that covers the garage ;-) ,,
,"True Negative: @BensonGoesRawrr not really, just upset, got dressed to go out somewhere, then got back into bed for no reason, im being a bit of a sook ",,
,True Negative: Its raining and its cold outside. Winter coats again. ,,
,True Negative: sick roomie gave me her cold my throats sore (hurts to swallow my cereal) super tired 24/7 now. damn colds ,,
,True Negative: if lucas till and taylor swift start dating i will start barfing goats all over the placeeeeeeeeeeeeeeeeee +o( ,,
,True Negative: Bed time. Back to reality ,,
